start_node,end_node,np
100001,100002,1
100001,100002,2
102731,102733,2
102730,102732,1
101184,102731,2
101184,102730,1
102184,102731,2
102184,102730,1
100001,100008,0
100003,100016,1
101033,100016,2
100063,101003,0
100003,101003,0
101033,100063,2
100003,100095,0
100080,100089,0
101033,101081,0
100004,100005,1
100004,100005,2
100004,100043,1
100004,100043,2
100004,100045,1
100004,100045,2
100005,100006,1
100005,100006,2
100007,100014,0
100007,100023,1
100007,100023,2
100007,100066,2
100007,100066,1
100007,100072,1
100007,100072,2
100008,100016,0
100008,100085,0
100009,101009,0
100010,100039,0
100010,100054,0
100010,100060,0
100010,100073,4
100010,100073,3
100011,101015,1
100011,101015,2
100012,100082,0
100012,100083,0
100012,100088,0
100013,100046,0
100014,100012,1
100014,100012,2
101013,101015,0
100015,101015,0
100016,100080,0
100017,100093,0
100017,100441,0
100019,100032,0
100020,100021,0
100020,100042,0
100020,100091,0
100021,100022,0
100021,100029,0
100021,100091,0
100023,100025,0
100023,100098,0
100024,100042,0
100020,100024,0
100025,100026,0
100025,100038,0
100025,100088,0
100026,100027,0
100026,100028,0
100026,100031,0
100027,100028,0
100016,100089,0
100028,100001,0
100029,100079,0
100030,100031,0
100030,100048,0
100032,100033,0
100033,101192,0
100034,100033,1
100034,101135,0
100035,100029,1
100035,100029,2
100035,100037,0
100035,100076,0
100035,100077,0
100036,100043,1
100036,100043,2
100036,100444,0
100036,100445,0
100037,100091,0
100038,100031,0
100039,100035,3
100039,100035,4
100039,100439,0
100040,100041,1
100040,100041,2
100040,100074,0
100040,100075,0
100041,100093,0
100041,100094,0
100044,100046,0
100045,100046,0
100046,100107,1
100046,100107,2
100048,100049,1
100048,100049,2
100049,100050,0
100049,100051,0
100050,100001,0
100050,100051,1
100050,100051,2
100051,100059,0
100052,101005,4
100052,100065,0
100054,101023,3
101023,100063,3
101024,100063,4
100054,101050,0
100054,101153,1
100054,101153,2
100055,100036,3
100055,100036,4
100047,100055,0
101056,100047,0
101056,100056,1
100055,100417,0
100056,100004,1
100056,100004,2
100058,101004,0
100056,101057,1
100056,100057,2
100056,100058,1
101004,100004,0
100057,100058,0
100057,101011,0
100057,101057,1
100057,101058,0
101001,100011,1
101011,100011,2
100069,101001,0
100057,100069,0
100058,100013,1
100058,100013,2
100058,100044,0
100058,100052,0
100058,101058,0
100059,100061,0
100060,100054,0
100060,100058,4
100060,100058,3
100060,101055,0
100060,101066,0
100062,100031,1
100062,100031,2
100063,101051,0
101051,100051,1
101051,100051,2
100063,100062,0
100063,100064,1
100063,100064,2
100064,100028,1
100064,100028,3
100065,100002,1
100065,100002,2
100065,101064,1
100065,101064,2
100065,101065,0
100002,101002,0
100066,100068,1
100066,100068,2
100068,100067,1
100068,100069,3
100068,100069,4
100068,100073,1
100068,100073,2
100071,100073,0
100071,100074,0
100070,100075,0
100070,100071,0
100072,100073,1
100072,100073,2
100072,100098,1
100072,100098,2
100073,100074,0
100073,100097,1
100073,100097,2
100074,100078,0
100074,100090,10
100074,100090,11
100075,100017,1
100075,100017,2
100075,100017,3
100076,100077,0
100076,100079,1
100076,100079,2
100077,100082,1
100077,100082,2
100077,101074,2
100079,100082,0
100079,100084,0
100080,100008,0
100081,101064,0
100081,100065,0
100081,100080,1
100081,100080,2
100081,101081,0
100081,101095,0
100083,100086,0
100083,100087,0
100084,100086,0
100087,100090,0
100090,100092,0
100090,100093,1
100090,100093,2
100090,100094,0
100092,100094,0
100094,100096,0
100094,100410,0
100096,100097,0
100097,100098,0
100097,100099,0
100098,100099,0
100101,100102,0
100197,100101,1
100197,100101,2
100103,100102,1
100103,100102,2
100102,100116,0
100103,100172,0
100104,100106,0
100135,100104,1
100135,100104,2
100199,100104,1
100199,100104,2
100105,100080,0
100105,100179,0
100135,100106,1
100135,100106,2
100173,100106,1
100173,100106,2
100107,100182,0
100108,100109,0
100108,100110,0
100108,100119,0
100108,100125,0
100108,100182,0
100110,100149,1
100110,100149,2
100178,100110,1
100178,100110,2
100112,100113,0
100111,100117,1
100111,100117,2
100111,100117,3
100111,100117,4
100111,100124,0
100111,100125,0
100112,100111,0
100112,100137,0
100112,100158,0
100112,103110,1
100112,103110,2
100113,100110,0
100112,103112,0
100113,103113,0
100113,100136,0
100113,100176,0
100112,100191,0
100191,100195,0
100114,100112,3
100114,100113,4
100114,100155,0
100114,100198,0
100114,101066,0
100114,103128,0
100115,100194,1
100117,100194,1
100117,100194,2
100117,103117,0
100118,100140,0
100119,100125,0
100120,100142,0
100120,103120,0
100121,100122,1
100121,100122,2
100121,100143,1
100121,100143,2
100121,100171,0
100133,100122,1
100133,100122,2
100123,100121,1
100123,100134,0
100123,100190,0
100124,100164,0
100125,100182,0
100126,100132,0
100126,100139,0
100126,100141,0
100126,100168,0
100126,103139,0
100128,100126,5
100128,100126,6
100128,100137,0
100128,100154,0
100128,103126,1
100128,103126,2
100129,100141,0
100129,100164,0
100130,100131,0
100130,100132,0
100130,100157,0
100131,100132,0
100131,100157,0
100131,100164,0
100131,100168,0
100132,100133,0
100133,100143,3
100133,100143,4
100134,100133,1
100134,100133,3
100134,100133,2
100134,100155,0
100135,100138,0
100135,100146,0
100135,100149,1
100135,100149,2
100136,100186,0
100137,103137,0
100138,100139,0
100139,103139,0
100142,100147,0
100142,100151,0
100143,100144,1
100143,100144,2
100145,100144,1
100145,100144,2
100145,100170,0
100145,100193,0
100146,100164,0
100147,100152,0
100147,100181,1
100147,100181,2
100148,100159,0
103148,100162,0
103148,100163,0
103148,100167,0
100148,103148,0
100150,100148,0
100150,100188,0
100151,100160,0
100151,100162,0
100151,100163,0
100151,100187,0
100151,100203,0
100151,103151,0
100152,100161,0
100153,100154,1
100153,103128,0
903576,100153,0
100154,100169,0
100156,103139,0
100156,103151,0
100169,100159,1
100169,100159,2
100158,100157,1
100158,100164,2
100158,103158,0
100185,103160,0
100160,103120,0
100161,100165,0
100161,100185,0
100161,100202,0
100166,103148,0
100166,100154,0
100166,103165,0
100156,100169,0
100171,100143,0
100171,100170,0
100172,100179,0
100173,100178,1
100173,100178,2
100174,100193,0
100174,100196,0
100175,100196,1
100175,100196,2
100175,100217,1
100175,100217,2
100176,100081,0
100176,100179,0
100177,100147,1
100177,100147,2
100177,100153,0
100177,100180,0
100177,100882,0
100180,100181,1
100181,100165,0
100181,100184,0
100181,100241,0
100183,100065,0
100183,100182,1
100183,100182,2
100184,100185,0
100186,100135,2
100188,100189,0
100189,101769,0
100190,100193,1
100190,100193,2
100190,100280,0
100192,100195,1
100192,100195,2
100192,100195,3
100192,100195,4
100192,100197,1
100192,100197,2
