number,name
101783,Восточная_БУ
101782,Изобильная_БУ
100928,Салехард_БУ
101732,Горбуново_БУ
399204,Небаланс Сочи
399909,Небаланс ДЭ
399908,Небаланс Белиджи
399907,Небаланс Крыма
514986,Владимирская _БУ
1003080,Юнино_Баланс узе
1002080,БалансУзел_Ванко
1005005,ПС 220 кВ Пеледу
1005002,БУ_ВЗ (Восток)
102138,Святогор
102139,Святогор
100001,Асбест
100002,БАЭС 110
100003,Травянская 1 СШ
100004,Первоуральская 1
100005,Хромпик
100006,СУГРЭС 110
100007,Салда 220
100008,Синарская
100009,ВИЗ
100010,Тагил
100011,Калининская 110
100012,Кошай 110
100013,Южная 110
100014,Кошай 220
100015,НСверд ТЭЦ_потре
100016,Травянская 110
100017,Качканар 110
100018,Кармак
100019,Кр.Слобода
100020,Першино
100021,Черемухово
100022,Североуральск
100023,Салда 110
100025,Алапаевск
100026,ЕГРЭС
102206,Кармановская ГРЭ
102204,Кармановская ГРЭ
102205,Кармановская ГРЭ
102203,Кармановская ГРЭ
102202,Кармановская ГРЭ
102214,Кармановская ГРЭ
102212,Кармановская ГРЭ
102201,Кармановская ГРЭ
101030,РефтГРЭС Блок 10
101039,РефтГРЭС Блок 9
101038,РефтГРЭС Блок 8
101037,РефтГРЭС Блок 7
101036,РефтГРЭС Блок 6
101035,РефтГРЭС Блок 5
100027,Реж
100028,Окунево 110
100029,БАЗ 110
100030,Краснополянск
100031,Ница 110
100032,Туринск
100033,Тавда 110
100034,Тавда 220
100035,БАЗ 220
100036,Красноуфимская 1
100037,Белка 220
100038,Голубково
100039,БАЗ
100040,Янтарь 220
100041,Янтарь 110
100042,Атымья
100043,Михайловская
100044,Малахит 220
100045,Дегтярка
100046,Малахит 110
100047,Продольная
100048,Маян
100049,Камышлов
100050,Сухой лог
100051,Сирень 110
101051,Сирень 220
100052,НСвТЭЦ 220
100053,Партизанская
100054,РефтГРЭС
100055,Красноуфимская 2
100056,Первоуральская 2
100057,СУГРЭС 220
100058,Южная 220
100059,Бутка
100060,Южная
100061,Юшала
100062,Ница 220
100063,РефтГРЭС 220
100064,Окунево 220
100065,БАЭС 220
101002,сн_БАЭС
101003,Анна 220
101065,бл_БАЭС
100066,Первомайская 220
100067,ВТГРЭС 110
100068,ВТГРЭС 220
100069,Песчаная 220
100070,Острая
100071,Отп.Качканар
100072,Вязовская 220
100073,Тагил 220
100074,НТГРЭС 220
100075,Качканар 220
100076,Краснотурьинск 2
100077,Серовская ГРЭС 2
100078,Сопка
100079,Краснотурьинск 1
100080,Каменская 110
100081,Каменская 220
100082,Серовская ГРЭС 1
100083,Ступино
100084,Серов
100085,Колюткино
100086,Разъезд 136
100087,Выя
100088,Предтурье
100089,КрТЭЦ
100090,НТГРЭС 110
100091,Белка 110
100092,Красноуральск 11
100093,Уральская
100094,Верхняя Тура
100095,Электролизная
100096,Гороблагодатская
100097,Тагил 110
100098,Вязовская 110
100099,НТМК
100101,Конверторная
100102,Конверторная
100103,ЧелТЭЦ-3
100104,Ю.Копи
100105,Разъезд 3-т
100106,ЧТЭЦ1
100107,Уфалей
100108,Кыштым
100109,Карабаш
100110,Шагол 110-2
100111,Шагол 110-1
100112,Шагол 220-1
100113,Шагол 220-2
100114,Шагол
100115,ТЭЦЧМК
100116,Каштак
100117,ЧТЭЦ-4 110
100118,ЧФЗ
100119,АргТЭЦ
100120,ПС-77
103120,ПС-77
100121,Приваловская
100122,Боровая
100123,Приваловская
100124,Харлуши
100125,Болото
100126,ЮУГРЭС
100127,Хромовая
100128,ЮУГРЭС
100129,Луговая
100130,Тургояк
100131,Миасс
100132,Таганай
100133,Златоуст
100134,Златоуст
100135,Исаково
100136,Исаково 220-2
100137,Исаково 220-1
100138,Коркино
100139,Еманжелинск
100140,Абразивная
100141,Первомайка
100142,ПС-90
100143,Сатка
100144,Бакал
100145,Юрюзань
100146,Челябинск
100147,Магнитогорская
100148,Карталы-район
100149,Сосновская
100150,Бреды
100151,ПС-90
100152,"ПС-60, 86"
100153,ТрГРЭС
100154,ТрГРЭС
100155,Челябинская
100156,Троицкая районна
100157,Чебаркуль1
100158,Чебаркуль
100159,Саламат
100160,МТЭЦ
103160,МЦЭС
100161,ПС-60
103161,МагГТ-ТЭЦ
100162,Субутак
100163,Мочаги
100164,Чебаркуль2
100165,Смеловская
100166,Карталы
100167,Ракитная
100168,Ленинская
100169,ТрГРЭС
100170,Мурсалимкино
100171,Сулея
100172,Лазурная
100173,ЧТЭЦ-2
100174,Ерал
100175,Амет
100176,Кунашак
100177,Магнитогорская
100178,отпЧЭМК
100179,Кунашак
100180,Смеловская
100181,Смеловская
100182,Мраморная
100183,Мраморная
100184,ПС-30
100185,ПС-30
100186,отпИсаково2
100187,Магнитогорск-тяг
100188,Маякская
100189,Восточная
100190,Кропачево
100191,Цинковая
100192,ЧелТЭЦ-3
100193,Кропачево
100194,Новометаллург
100195,Новометаллург
100196,Симская
100197,Козырево
100198,Козырево
100199,Козырево
103110,ЧТЭЦ-4 220
103104,Чернявская-т
103112,Очистные-1
103113,Очистные-2
103115,Плавильная
103116,Каштак
103117,ГПП ЧЭМК
103126,ЮУГРЭС-2
103128,ЮУГРЭС-2
103137,Исаково_АТ-1
103139,Казачья
103148,Карталы
103151,Кр.Горка
103158,КС-19
103118,ПС-46
103166,Мих ГОК
103175,Амет
100201,Нарышево
100202,Иремель
100203,Сибай
100204,Бураево
100205,Бирск
100206,Белорецк
100207,Белорецк
100208,Аргамак
100209,Субханкулово
100210,НПЗ
100211,Благовар
100212,УфТЭЦ-2
100213,Уфа-Южная
100214,Бекетово
100215,ПавГЭС
100216,Месягутово
100217,Улу-Теляк
100218,СПП
100219,УфТЭЦ-3
100220,УфТЭЦ-1
100221,Уфа-Южная
100222,Западная
100223,УфТЭЦ-4
100224,ПриуфТЭЦ
100225,Дема
